,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month
80,2004-027A,Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",USA,Boeing Satellite Systems,Commercial,Communications,nan,GEO,nan,1436.08,15.0,5910.0,3805,16000,Guiana Space Center,Ariane 5,2004,7
81,2007-009A,Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Multinational,EADS Astrium,Commercial,Communications,nan,GEO,nan,1436.1,15.0,4715.0,nan,17500,Baikonur Cosmodrome,Proton M,2007,4
82,2013-014A,Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",USA,Space Systems/Loral,Commercial,Communications,nan,GEO,nan,1436.08,15.0,4905.0,nan,17500,Baikonur Cosmodrome,Proton M,2013,4
83,2004-025G,AprizeSat 1 (LatinSat-C),Argentina,"Aprize Satellite, Argentina",Argentina,Aprize Satellite,Commercial,Communications/Technology Development,nan,LEO,Sun-Synchronous,99.4,4.0,12.0,12,nan,Baikonur Cosmodrome,Dnepr,2004,6
84,2014-033K,AprizeSat 10 (exactView-13),Multinational,"Aprize Satellite, Argentina",USA,SpaceQuest,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,98.0,4.0,12.0,12,nan,Dombarovsky Air Base,Dnepr,2014,6
85,2004-025A,AprizeSat 2 (LatinSat-D),Multinational,"Aprize Satellite, Argentina",Argentina,Aprize Satellite,Commercial,Communications/Technology Development,nan,LEO,Sun-Synchronous,100.3,4.0,12.0,12,nan,Baikonur Cosmodrome,Dnepr,2004,6
86,2009-041F,AprizeSat 3,Multinational,"Aprize Satellite, Argentina",USA,SpaceQuest,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,97.0,4.0,12.0,12,nan,Baikonur Cosmodrome,Dnepr,2009,7
87,2009-041D,AprizeSat 4,Multinational,"Aprize Satellite, Argentina",USA,SpaceQuest,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,97.5,4.0,12.0,12,nan,Baikonur Cosmodrome,Dnepr,2009,7
88,2011-044E,AprizeSat 5,Canada,"Aprize Satellite, Argentina",USA,SpaceQuest,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,97.8,4.0,12.0,12,nan,Dombarovsky Air Base,Dnepr,2011,8
89,2013-066A,AprizeSat 7,Canada,"Aprize Satellite, Argentina",USA,SpaceQuest,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,97.17,4.0,12.0,12,nan,Dombarovsky Air Base,Dnepr,2013,11
